what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1337599368302
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337599368302
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1337599368302
java.specification.name,sysinfo,,,"Java Platform API Specification",1337599368302
java.specification.vendor,sysinfo,,,"Oracle Corporation",1337599368302
java.specification.version,sysinfo,,,"1.7",1337599368302
java.vendor,sysinfo,,,"Oracle Corporation",1337599368302
java.version,sysinfo,,,"1.7.0_03",1337599368302
java.vm.info,sysinfo,,,"mixed mode",1337599368302
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1337599368302
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1337599368302
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1337599368302
java.vm.specification.version,sysinfo,,,"1.7",1337599368302
java.vm.vendor,sysinfo,,,"Oracle Corporation",1337599368302
java.vm.version,sysinfo,,,"22.1-b02",1337599368302
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1337599368322
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1337599369545
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1337599372507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337599373590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337599395456
error,log,,,"Unable to create editor ID org.eclipse.jdt.ui.CompilationUnitEditor: The file does not exist.",1337599396574
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337599396595
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337599396600
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337599396672
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337599397283
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337599397285
error,log,,,"Unable to create editor ID org.eclipse.jdt.ui.CompilationUnitEditor: The file does not exist.",1337599397650
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337599397670
